Time;Name;Page;Referrer;Load Generator;Response code;Assertions;Time;Size;Population;Virtual User;
1706277551183;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281164/edit/service-scope/service-constraints;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/service-scope/service-co;;localhost:7100;504;0 Assertion failed;60;761;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#333 - Actions#1;
1706277551234;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281028/edit/governance/board-level-service-security;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/governance/board-level-s;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#365 - Actions#1;
1706277552813;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281026/edit/availability-and-resilience/outage-reporting;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/availability-and-resilie;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#362 - Actions#1;
1706277559053;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/ultimate-parent-company;/suppliers/frameworks/g-cloud-14/declaration/edit/ultimate-parent-company;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#379 - Actions#1;
1706277561753;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281180;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/service-features-and-ben;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/${pServiceId}/edit/service-features-and-benefits/service-features-and-benefits;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#330 - Actions#1;
1706277562394;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/280995/edit/operational-security/protective-monitoring-approach;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/operational-security/pro;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/${pServiceId}/edit/operational-security/protective-monitoring-type;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#124 - Actions#1;
1706277562482;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/what-it-means-to-be-on-g-cloud-14;/suppliers/frameworks/g-cloud-14/declaration/edit/what-it-means-to-be-on-g-cloud-14;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#455 - Actions#1;
1706277562690;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/create;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/create;;localhost:7100;504;0 Assertion failed;60;761;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#158 - Actions#1;
1706277563274;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281155/edit/service-scope/system-requirements;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/service-scope/service-co;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/${pServiceId}/edit/service-scope/service-constraints;localhost:7100;504;0 Assertion failed;60;761;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#107 - Actions#1;
1706277563347;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281176/edit/service-features-and-benefits/service-features-and-benefits;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/service-features-and-ben;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#306 - Actions#1;
1706277564026;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/immediate-parent-company;/suppliers/frameworks/g-cloud-14/declaration/edit/immediate-parent-company;;localhost:7100;504;0 Assertion failed;60;761;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#397 - Actions#1;
1706277564085;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/280940/edit/pricing/free-or-trial-versions;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/pricing/education-pricin;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/${pServiceId}/edit/pricing/education-pricing;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#39 - Actions#1;
1706277564221;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/application-accuracy;/suppliers/frameworks/g-cloud-14/declaration/edit/application-accuracy;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#448 - Actions#1;
1706277565535;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/contracts-finder;/suppliers/frameworks/g-cloud-14/declaration/edit/contracts-finder;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#460 - Actions#1;
1706277565621;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281182/edit/service-scope/service-constraints;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/service-scope/service-co;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#351 - Actions#1;
1706277566407;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/economic-and-financial-standing;/suppliers/frameworks/g-cloud-14/declaration/edit/modern-slavery;/suppliers/frameworks/g-cloud-14/declaration/edit/modern-slavery;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#521 - Actions#1;
1706277566631;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281045/edit/scaling/independence-of-resources;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/scaling/independence-of-;;localhost:7100;504;0 Assertion failed;60;761;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#389 - Actions#1;
1706277567299;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281133/edit/user-support/phone-support;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/user-support/phone-suppo;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#104 - Actions#1;
1706277567364;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/authorisation-or-organisation-legal-requirement;/suppliers/frameworks/g-cloud-14/declaration/edit/authorisation-or-organisation-legal-requireme;;localhost:7100;504;0 Assertion failed;60;761;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#430 - Actions#1;
1706277567414;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281032/edit/availability-and-resilience/guaranteed-availability;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/availability-and-resilie;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#175 - Actions#1;
1706277568162;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281047/edit/asset-protection/data-storage-and-processing-locations;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/asset-protection/data-st;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#398 - Actions#1;
1706277568424;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/grounds-for-mandatory-exclusion-taxes;/suppliers/frameworks/g-cloud-14/declaration/edit/grounds-for-mandatory-exclusion-taxes;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#325 - Actions#1;
1706277568445;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/providing-suitable-services;/suppliers/frameworks/g-cloud-14/declaration/edit/providing-suitable-services;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#2 - Actions#2;
1706277569533;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281192/edit/about-your-service/service-categories;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/about-your-service/servi;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#384 - Actions#1;
1706277570786;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/declaration/edit/what-it-means-to-be-on-g-cloud-14;/suppliers/frameworks/g-cloud-14/declaration/edit/what-it-means-to-be-on-g-cloud-14;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#436 - Actions#1;
1706277570833;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281082/edit/backups-and-recovery/backup-and-recovery;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/backups-and-recovery/bac;;localhost:7100;504;0 Assertion failed;60;761;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#444 - Actions#1;
1706277572966;GET https://www.nft.marketplace.team/suppliers/details;/suppliers/details;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#575 - Actions#1;
1706277574093;POST https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281101/edit/how-users-work-with-your-service/command-line-interface;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281140/edit/how-users-work-with-your;;localhost:7100;504;0 Assertion failed;60;723;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#254 - Actions#1;
1706277574660;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/280953/edit/documents/terms-and-conditions-document-url;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/281142/edit/documents/service-defini_1;/suppliers/frameworks/g-cloud-14/submissions/cloud-hosting/${pServiceId}/edit/documents/service-definition-document-url;localhost:7100;504;0 Assertion failed;60;761;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#51 - Actions#1;
1706277576040;GET https://www.nft.marketplace.team/suppliers/frameworks/g-cloud-14;/suppliers/details;/suppliers/details;localhost:7100;504;0 Assertion failed;60;761;DMP-1.5-Dryrun;DMP 1.5 Supplier Registration - Working on AWS NFT#486 - Actions#1;
